rule_id,message,file,line,col
ql-ghost-composition,"Ghost composition at location: (124, 9)",test_mc_gate_13ba80.py,124,9.0
ql-ghost-composition,"Ghost composition at location: (249, 1)",error_correction_repetition_code_e94ab1.py,249,
ql-ghost-composition,"Ghost composition at location: (222, 1)",error_correction_repetition_code_e94ab1.py,222,
ql-ghost-composition,"Ghost composition at location: (42, 1)",h2evo_6bb46f.py,42,
ql-ghost-composition,"Ghost composition at location: (303, 1)",error_correction_repetition_code_e94ab1.py,303,
ql-ghost-composition,"Ghost composition at location: (413, 1)",transpiled_stabilizer_test_7be7ce.py,413,
ql-ghost-composition,"Ghost composition at location: (76, 1)",neoh2evo_28b965.py,76,
ql-ghost-composition,"Ghost composition at location: (107, 9)",test_mc_gate_13ba80.py,107,9.0
ql-ghost-composition,"Ghost composition at location: (90, 9)",test_mc_gate_13ba80.py,90,9.0
ql-ghost-composition,"Ghost composition at location: (275, 1)",error_correction_repetition_code_e94ab1.py,275,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=5) at location: (537, 10)  is larger than parent 'qc' (qubits=1) at location: (684, 10). The composition at location: (568, 1) is not possible.
The subcircuit 'qc' (qubits=5) at location: (537, 10)  is larger than parent 'qc' (qubits=1) at location: (684, 10). The composition at location: (694, 9) is not possible.",challenge_4c_491e0e.py,684,10.0
ql-incompatible-composition,"The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (34, 1) is not possible.
The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (24, 1) is not possible.
The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (64, 5) is not possible.
The subcircuit 'equal' (qubits=3) at location: (21, 9)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (59, 5) is not possible.",max_cc3be1.py,50,5.0
ql-incompatible-composition,"The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.",qiskit_test_49241d.py,136,10.0
