rule_id,message,file,line,col,filename,Annotator_1,
ql-ghost-composition,"Ghost composition at location: (124, 9)",test_mc_gate_13ba80.py,124,9.0,test_mc_gate_13ba80,TP,
ql-ghost-composition,"Ghost composition at location: (249, 1)",error_correction_repetition_code_e94ab1.py,249,,error_correction_repetition_code_e94ab1,NW,
ql-ghost-composition,"Ghost composition at location: (222, 1)",error_correction_repetition_code_e94ab1.py,222,,error_correction_repetition_code_e94ab1,NW,
ql-ghost-composition,"Ghost composition at location: (42, 1)",h2evo_6bb46f.py,42,,h2evo_6bb46f,TP,
ql-ghost-composition,"Ghost composition at location: (303, 1)",error_correction_repetition_code_e94ab1.py,303,,error_correction_repetition_code_e94ab1,NW,
ql-ghost-composition,"Ghost composition at location: (413, 1)",transpiled_stabilizer_test_7be7ce.py,413,,transpiled_stabilizer_test_7be7ce,NW,
ql-ghost-composition,"Ghost composition at location: (76, 1)",neoh2evo_28b965.py,76,,neoh2evo_28b965,TP,
ql-ghost-composition,"Ghost composition at location: (107, 9)",test_mc_gate_13ba80.py,107,9.0,test_mc_gate_13ba80,TP,
ql-ghost-composition,"Ghost composition at location: (90, 9)",test_mc_gate_13ba80.py,90,9.0,test_mc_gate_13ba80,TP,
ql-ghost-composition,"Ghost composition at location: (275, 1)",error_correction_repetition_code_e94ab1.py,275,,error_correction_repetition_code_e94ab1,NW,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=5) at location: (537, 10)  is larger than parent 'qc' (qubits=1) at location: (684, 10). The composition at location: (568, 1) is not possible.
The subcircuit 'qc' (qubits=5) at location: (537, 10)  is larger than parent 'qc' (qubits=1) at location: (684, 10). The composition at location: (694, 9) is not possible.",challenge_4c_491e0e.py,684,10.0,challenge_4c_491e0e,FP,
ql-incompatible-composition,"The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (34, 1) is not possible.
The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (24, 1) is not possible.
The subcircuit 'copy' (qubits=2) at location: (9, 12)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (64, 5) is not possible.
The subcircuit 'equal' (qubits=3) at location: (21, 9)  is larger than parent 'q' (qubits=1) at location: (50, 5). The composition at location: (59, 5) is not possible.",max_cc3be1.py,50,5.0,max_cc3be1,FP,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (136, 10). The composition at location: (149, 10) is not possible.",qiskit_test_49241d.py,136,10.0,qiskit_test_49241d,FP,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (79, 10)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (85, 14)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (149, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (139, 10) is not possible.
The subcircuit 'qc' (qubits=12) at location: (92, 14)  is larger than parent 'qc' (qubits=8) at location: (143, 10). The composition at location: (149, 10) is not possible.",qiskit_test_49241d.py,143,10.0,qiskit_test_49241d,FP,
ql-incompatible-composition,"The subcircuit 'circuit' (qubits=2) at location: (129, 19)  is larger than parent 'circuit' (qubits=1) at location: (47, 19). The composition at location: (96, 13) is not possible.",shor_dce712.py,47,19.0,shor_dce712,FP,
ql-incompatible-composition,"The subcircuit 'circuit' (qubits=2) at location: (157, 19)  is larger than parent 'circuit' (qubits=1) at location: (75, 19). The composition at location: (124, 13) is not possible.",shor_independent_ebb6ac.py,75,19.0,shor_independent_ebb6ac,FP,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=3) at location: (69, 10)  is larger than parent 'qc' (qubits=2) at location: (122, 10). The composition at location: (134, 9) is not possible.",shors_benchmark_365616.py,122,10.0,shors_benchmark_365616,FP,
ql-incompatible-composition,"The subcircuit 'qc' (qubits=3) at location: (152, 10)  is larger than parent 'qc' (qubits=1) at location: (234, 14). The composition at location: (212, 13) is not possible.
The subcircuit 'qc' (qubits=3) at location: (152, 10)  is larger than parent 'qc' (qubits=1) at location: (234, 14). The composition at location: (252, 13) is not possible.",shors_benchmark_365616.py,234,14.0,shors_benchmark_365616,FP,
ql-ungoverned-composition,"The composition of subcircuit 'grover' (l: 93, c: 29) to the 'grover' (l: 92, c: 14) has no specified wiring (parameters 'qubits' and 'clbits' of compose() are not used).",grover_76328c.py,93,14.0,grover_76328c,FP,
