rule_id,message,file,line,col,index,Annotator_1,Annotator_2,Resolution,Resolution comment,Comment annotator 2,same,label,url,repo_owner,repo_name,name,stars,issues,forks,contributors,commits,latest_commit_date,days_since_latest_commit
ql-ghost-composition,"Ghost composition at location: (124, 9)",test_mc_gate_13ba80.py,124,9.0,"Ghost composition at location: (124, 9)test_mc_gate_13ba80.py124",TP,TP,,,,1,TP,https://github.com/qclib/qclib/blob/ddafadf004cfe79d6086b3874c96a00219bf896d/test/test_mc_gate.py,qclib,qclib,qclib,26.0,9.0,17.0,9.0,30.0,2023-11-10 14:55:49+00:00,80.0
ql-ghost-composition,"Ghost composition at location: (249, 1)",error_correction_repetition_code_e94ab1.py,249,,"Ghost composition at location: (249, 1)error_correction_repetition_code_e94ab1.py249",TP,FP,NW,,easy to avoid,0,NW,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,Qiskit,platypus,platypus,93.0,217.0,228.0,30.0,30.0,2023-11-28 19:56:56+00:00,62.0
ql-ghost-composition,"Ghost composition at location: (222, 1)",error_correction_repetition_code_e94ab1.py,222,,"Ghost composition at location: (222, 1)error_correction_repetition_code_e94ab1.py222",TP,FP,NW,"because the checker looks for an error, but the checker finds a style problem.",easy to avoid,0,NW,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,Qiskit,platypus,platypus,93.0,217.0,228.0,30.0,30.0,2023-11-28 19:56:56+00:00,62.0
ql-ghost-composition,"Ghost composition at location: (42, 1)",h2evo_6bb46f.py,42,,"Ghost composition at location: (42, 1)h2evo_6bb46f.py42",TP,TP,,,,1,TP,https://github.com/NEASQC/Variationals_algorithms/blob/8654cddca7d3a9b816c8085f64c278990cb78411/misc/python_scripts/h2evo.py,NEASQC,Variationals_algorithms,Variationals_algorithms,0.0,0.0,1.0,3.0,30.0,2022-09-13 09:11:14+00:00,504.0
ql-ghost-composition,"Ghost composition at location: (303, 1)",error_correction_repetition_code_e94ab1.py,303,,"Ghost composition at location: (303, 1)error_correction_repetition_code_e94ab1.py303",TP,FP,NW,,easy to avoid,0,NW,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,Qiskit,platypus,platypus,93.0,217.0,228.0,30.0,30.0,2023-11-28 19:56:56+00:00,62.0
ql-ghost-composition,"Ghost composition at location: (413, 1)",transpiled_stabilizer_test_7be7ce.py,413,,"Ghost composition at location: (413, 1)transpiled_stabilizer_test_7be7ce.py413",TP,TP,,,,1,TP,https://github.com/Serock3/Master_thesis_QEC_simulation/blob/bfc808d5e73b7e0bc77f7a36bdc373f7d27a4c8f/trash/transpiled_stabilizer_test.py,Serock3,Master_thesis_QEC_simulation,Master_thesis_QEC_simulation,2.0,0.0,0.0,2.0,30.0,2021-12-11 09:31:38+00:00,780.0
ql-ghost-composition,"Ghost composition at location: (76, 1)",neoh2evo_28b965.py,76,,"Ghost composition at location: (76, 1)neoh2evo_28b965.py76",TP,TP,,,,1,TP,https://github.com/NEASQC/Variationals_algorithms/blob/8654cddca7d3a9b816c8085f64c278990cb78411/misc/python_scripts/neoh2evo.py,NEASQC,Variationals_algorithms,Variationals_algorithms,0.0,0.0,1.0,3.0,30.0,2022-09-13 09:11:14+00:00,504.0
ql-ghost-composition,"Ghost composition at location: (107, 9)",test_mc_gate_13ba80.py,107,9.0,"Ghost composition at location: (107, 9)test_mc_gate_13ba80.py107",TP,TP,,,,1,TP,https://github.com/qclib/qclib/blob/ddafadf004cfe79d6086b3874c96a00219bf896d/test/test_mc_gate.py,qclib,qclib,qclib,26.0,9.0,17.0,9.0,30.0,2023-11-10 14:55:49+00:00,80.0
ql-ghost-composition,"Ghost composition at location: (90, 9)",test_mc_gate_13ba80.py,90,9.0,"Ghost composition at location: (90, 9)test_mc_gate_13ba80.py90",TP,TP,,,,1,TP,https://github.com/qclib/qclib/blob/ddafadf004cfe79d6086b3874c96a00219bf896d/test/test_mc_gate.py,qclib,qclib,qclib,26.0,9.0,17.0,9.0,30.0,2023-11-10 14:55:49+00:00,80.0
ql-ghost-composition,"Ghost composition at location: (275, 1)",error_correction_repetition_code_e94ab1.py,275,,"Ghost composition at location: (275, 1)error_correction_repetition_code_e94ab1.py275",TP,FP,NW,,easy to avoid,0,NW,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,Qiskit,platypus,platypus,93.0,217.0,228.0,30.0,30.0,2023-11-28 19:56:56+00:00,62.0
ql-conditional-without-measurement,"Conditional gate 'h' on qubit '0' (l: 11, c: 1) without preceeding measurement.",ahmed154_73ece9.py,11,,"Conditional gate 'h' on qubit '0' (l: 11, c: 1) without preceeding measurement.ahmed154_73ece9.py11",TP,TP,,,,1,TP,https://github.com/ahmedkfu2020/-/blob/a205805a9dfaef2f8cb2ff0645c597b1b119747c/ahmed154.py,ahmedkfu2020,-,-,0.0,0.0,0.0,1.0,30.0,2020-06-20 21:57:51+00:00,1318.0
ql-conditional-without-measurement,"Conditional gate 'x' on qubit '0' (l: 83, c: 9) without preceeding measurement.",test_decompose_78559e.py,83,9.0,"Conditional gate 'x' on qubit '0' (l: 83, c: 9) without preceeding measurement.test_decompose_78559e.py83",TP,TP,,,,1,TP,https://github.com/epiqc/PartialCompilation/blob/50d80f56efdf754e40a0b1dd00404788a03fdf3d/qiskit-terra/test/python/transpiler/test_decompose.py,epiqc,PartialCompilation,PartialCompilation,11.0,0.0,2.0,3.0,30.0,2019-09-16 23:35:41+00:00,1596.0
ql-conditional-without-measurement,"Conditional gate 'h' on qubit '0' (l: 75, c: 9) without preceeding measurement.",test_decompose_78559e.py,75,9.0,"Conditional gate 'h' on qubit '0' (l: 75, c: 9) without preceeding measurement.test_decompose_78559e.py75",TP,TP,,,"It's a test case, so arguably, the intention may not be to create a complete test case. However, the code clearly is wrong wrt the pb the this analysis checks",1,TP,https://github.com/epiqc/PartialCompilation/blob/50d80f56efdf754e40a0b1dd00404788a03fdf3d/qiskit-terra/test/python/transpiler/test_decompose.py,epiqc,PartialCompilation,PartialCompilation,11.0,0.0,2.0,3.0,30.0,2019-09-16 23:35:41+00:00,1596.0
ql-conditional-without-measurement,"Conditional gate 'u' on qubit '1' (l: 245, c: 9) without preceeding measurement.",test_structure_aaba85.py,245,9.0,"Conditional gate 'u' on qubit '1' (l: 245, c: 9) without preceeding measurement.test_structure_aaba85.py245",TP,TP,,,,1,TP,https://github.com/jakelishman/qiskit-qasm2/blob/d5c145e6ca08f3bdea54822dbdf054c5ce72e02c/tests/test_structure.py,jakelishman,qiskit-qasm2,qiskit-qasm2,4.0,0.0,0.0,1.0,30.0,2023-03-11 01:43:40+00:00,325.0
